N&K,FrequencyOfOverestimation,ProbOfOverestimation
N3K50,8.0,0.3076923076923077
N6K100,6.0,0.23076923076923078
N9K150,4.0,0.15384615384615385
N12K200,2.0,0.07692307692307693
N15K250,2.0,0.07692307692307693
N18K300,2.0,0.07692307692307693
N21K350,0.0,0.0
N24K400,0.0,0.0
