N&K,FrequencyOfOverestimation,ProbOfOverestimation
N30K600,2398.0,0.9363265306122449
N60K1200,2121.0,0.8657142857142858
N90K1800,1836.0,0.7493877551020408
N120K2400,1531.0,0.6248979591836735
N150K3000,1306.0,0.5330612244897959
N180K3600,1207.0,0.4926530612244898
N210K4200,1091.0,0.4453061224489796
N240K4800,955.0,0.38979591836734695
